NCOLS          3         
NROWS          61        
XLLCENTER      0.00      
YLLCENTER      0.00      
DX             0.10      
DY             0.10      
NODATA_VALUE   -999.00   
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
91.78           91.78           91.78           
